37,small desk
21,different table
6,dining table
13,unpleasant experience
35,health issues
30,relatively pricey
8,late arrivals
30,overly fussy
32,unpleasant things
46,moldy bathrooms
43,horrible breakfast experience
21,design flaw
21,weird design
21,street sounds
32,little cramped
13,disappointing experience
32,really tacky
13,poor review
32,really annoying
32,little sprucing
41,smoky smell
21,noise levels
30,expensive ones
12,walking distances
12,walking distances
12,walking distances
12,walking distances
14,2 minute walk
14,minute walk
14,perfect walking access
14,short walk
14,nice walk
14,remotely close
