Document,Phrase
trip_1.txt,Housekeeping team
trip_103.txt,huge range
trip_104.txt,huge wall
trip_101.txt,ice maker
trip_101.txt,Ideal spot
trip_103.txt,impeccably clean
trip_103.txt,incredible collection
trip_107.txt,incredibly kind
trip_106.txt,interesting museums
trip_105.txt,inviting porch
trip_105.txt,jetted tub
trip_101.txt,kitchen bar
trip_101.txt,kitchen sink
trip_104.txt,kitchen tale
trip_105.txt,Koi pond
trip_102.txt,large room
trip_102.txt,large tub
trip_102.txt,last minute
trip_104.txt,last visit
trip_107.txt,late arrivals
trip_102.txt,lemon curd
trip_10.txt,level feel
trip_10.txt,light meal
trip_106.txt,linoleum floor
trip_10.txt,little balcony
trip_102.txt,little cramped
trip_102.txt,little sprucing
trip_101.txt,little sunshine
trip_1.txt,little things
trip_105.txt,lively conversation
trip_104.txt,living room
trip_10.txt,local mall
trip_106.txt,lovely buffet
trip_100.txt,lovely hotel
trip_106.txt,lovely mix
trip_101.txt,low teens
trip_100.txt,low-key ways
trip_107.txt,luggage racks
trip_103.txt,luxurious place
trip_101.txt,mad cause
trip_106.txt,main courses
trip_101.txt,main drawcard
trip_105.txt,main house
trip_106.txt,main street
trip_102.txt,male masseuse
trip_1.txt,management representative
trip_10.txt,management representative
trip_100.txt,management representative
trip_101.txt,management representative
trip_107.txt,management representative
trip_101.txt,meeting rooms
trip_1.txt,memorable staycation
trip_100.txt,menial tasks
trip_107.txt,menu binder
trip_107.txt,minimal puddles
trip_103.txt,minute walk
trip_103.txt,modern amenities
trip_101.txt,modern touch
trip_106.txt,moldy bathroom
trip_107.txt,morning coffee
trip_101.txt,movie theater
trip_102.txt,n't everything
trip_106.txt,nearby bookstore
trip_100.txt,nephews wedding
trip_105.txt,next morning
trip_100.txt,next trip
trip_101.txt,next visit
trip_101.txt,nice bar
trip_105.txt,nice glass
trip_105.txt,nice inn
trip_106.txt,nice mix
trip_100.txt,nice plus
trip_107.txt,nice rooms
trip_106.txt,nice touch
trip_106.txt,nice walk
trip_1.txt,night light
trip_104.txt,night owls
trip_101.txt,night snacks
trip_101.txt,Nightly room messages
trip_103.txt,nineteenth century farm
trip_104.txt,noise levels
trip_104.txt,offered rooms
trip_107.txt,online photos
trip_107.txt,organic ice cream
trip_104.txt,otherwise staff
trip_103.txt,outdoor friends
trip_101.txt,over-sized vehicles
trip_10.txt,overall product
trip_107.txt,overly fussy
trip_1.txt,park view room
trip_101.txt,Parking Information
trip_10.txt,particular establishment
trip_103.txt,past weekend
trip_104.txt,past weekend
trip_105.txt,past weekend
trip_1.txt,Perfect access
trip_1.txt,perfect walking access
trip_106.txt,personal touch
trip_101.txt,playoff games
trip_107.txt,pleasant Victorian-style rooms
trip_106.txt,polite staff
trip_104.txt,pool area
trip_105.txt,poor review
trip_1.txt,possible location
trip_105.txt,primary innkeeper
trip_101.txt,private car
trip_103.txt,professional couples
trip_102.txt,professional massage therapist
trip_106.txt,public areas
trip_104.txt,pull-out couch
trip_106.txt,quaint ambience
trip_101.txt,queen room
trip_10.txt,quick coffee
trip_104.txt,quick drive
