
 Bigram NP 
head 1
maintenance 1
form 1
two-fer 1
hq 1
incorporation 1
heap 1
feather 1
assessment 1
record 1
jan. 1
piece 1
ah 1
pie 1
sharing 1
ink 1
-one 1
field 1
-and 1
department 1
june 1
weekend 1
structure 1
rule 1
presentment 1

 Arbitary length NP 
income prc r2000-1 rate decision 1
financial posit ion unexplained change in usps fy2001 financial position 1
graphics communications association chicago 1
unexplained change in usps fy 1
